Šifra,Naziv
26.8,Proizvodnja magnetnih i optičkih medija
26.80,Proizvodnja magnetnih i optičkih medija
27,Proizvodnja električne opreme
27.1,"Proizvodnja elektromotora, generatora, transformatora te uređaja za distribuciju i kontrolu električne energije"
27.11,"Proizvodnja elektromotora, generatora i transformatora"
27.12,Proizvodnja uređaja za distribuciju i kontrolu električne energije
27.2,Proizvodnja baterija i akumulatora
27.20,Proizvodnja baterija i akumulatora
27.3,Proizvodnja žice i elektroinstalacijskog materijala
27.31,Proizvodnja kablova od optičkih vlakana
27.32,Proizvodnja ostalih elektroničkih i električnih žica i kablova
27.33,Proizvodnja elektroinstalacijskog materijala
27.4,Proizvodnja električne opreme za rasvjetu
27.40,Proizvodnja električne opreme za rasvjetu
27.5,Proizvodnja aparata za domaćinstvo
27.51,Proizvodnja električnih aparata za domaćinstvo
27.52,Proizvodnja neelektričnih aparata za domaćinstvo
27.9,Proizvodnja ostale električne opreme
27.90,Proizvodnja ostale električne opreme
28,"Proizvodnja mašina i uređaja, d. n."
28.1,Proizvodnja mašina za opće namjene
28.11,"Proizvodnja motora i turbina, osim motora za avione i motorna vozila"
28.12,Proizvodnja hidrauličnih pogonskih uređaja
28.13,Proizvodnja ostalih pumpi i kompresora
28.14,Proizvodnja ostalih slavina i ventila
28.15,"Proizvodnja ležajeva, prijenosnika te prijenosnih i pogonskih elemenata"
28.2,Proizvodnja ostalih mašina za opće namjene
28.21,"Proizvodnja peći, ložišta i plamenika"
28.22,Proizvodnja uređaja za dizanje i prenošenje
28.23,Proizvodnja kancelarijskih mašina i opreme (osim proizvodnje računara i periferne opreme)
28.24,Proizvodnja ručnih prenosivih alata s vlastitim pogonom
28.25,"Proizvodnja rashladne i ventilacijske opreme, osim za domaćinstvo"
28.29,"Proizvodnja ostalih mašina za opće namjene, d. n."
28.3,Proizvodnja mašina za poljoprivredu i šumarstvo
28.30,Proizvodnja mašina za poljoprivredu i šumarstvo
28.4,Proizvodnja mašina za obradu metala i alatnih mašina
28.41,Proizvodnja mašina za obradu metala
28.49,Proizvodnja ostalih alatnih mašina
28.9,Proizvodnja ostalih mašina za posebne namjene
28.91,Proizvodnja mašina za metalurgiju
28.92,"Proizvodnja mašina za rudnike, kamenolome i građevinarstvo"
28.93,"Proizvodnja mašina za industriju hrane, pića i duhana"
28.94,"Proizvodnja mašina za industriju tekstila, odjeće i kože"
28.95,Proizvodnja mašina za industriju papira i kartona
28.96,Proizvodnja mašina za plastiku i gumu
28.99,"Proizvodnja ostalih mašina za posebne namjene, d. n."
29,"Proizvodnja motornih vozila, prikolica i poluprikolica"
29.1,Proizvodnja motornih vozila
29.10,Proizvodnja motornih vozila
29.2,Proizvodnja karoserija za motorna  vozila," proizvodnja prikolica i poluprikolica"
29.20,Proizvodnja karoserija za motorna vozila," proizvodnja prikolica i poluprikolica"
29.3,Proizvodnja dijelova i pribora za motorna vozila
29.31,Proizvodnja električne i elektroničke opreme za motorna vozila
29.32,Proizvodnja ostalih dijelova i pribora za motorna vozila
30,Proizvodnja ostalih prijevoznih sredstava
30.1,Gradnja brodova i čamaca
30.11,Gradnja brodova i plovećih objekata
30.12,Gradnja čamaca za razonodu i sportskih čamaca
30.2,Proizvodnja željezničkih lokomotiva i tračničkih vozila
30.20,Proizvodnja željezničkih lokomotiva i tračničkih vozila
30.3,Proizvodnja aviona i svemirskih letjelica te  srodnih prijevoznih sredstava i opreme
30.30,Proizvodnja aviona i svemirskih letjelica te srodnih prijevoznih sredstava i opreme
30.4,Proizvodnja vojnih borbenih vozila
30.40,Proizvodnja vojnih borbenih vozila
30.9,"Proizvodnja prijevoznih sredstava, d. n."
30.91,Proizvodnja motocikala
30.92,Proizvodnja bicikala i invalidskih kolica
30.99,"Proizvodnja ostalih prijevoznih sredstava, d. n."
31,Proizvodnja namještaja
31.0,Proizvodnja namještaja
31.01,Proizvodnja namještaja za poslovne i prodajne prostore
31.02,Proizvodnja kuhinjskog namještaja
31.03,Proizvodnja madraca
31.09,Proizvodnja ostalog namještaja
32,Ostala prerađivačka industrija
32.1,"Proizvodnja nakita, imitacije nakita  (bižuterije) i srodnih proizvoda"
32.11,Proizvodnja kovanog novca
32.12,Proizvodnja nakita i srodnih proizvoda
32.13,Proizvodnja imitacije nakita (bižuterije) i srodnih proizvoda
32.2,Proizvodnja muzičkih instrumenata
32.20,Proizvodnja muzičkih instrumenata
32.3,Proizvodnja sportske opreme
32.30,Proizvodnja sportske opreme
32.4,Proizvodnja igara i igračaka
32.40,Proizvodnja igara i igračaka
32.5,Proizvodnja medicinskih i stomatoloških instrumenata i pribora
32.50,Proizvodnja medicinskih i stomatoloških instrumenata i pribora
32.9,"Prerađivačka industrija, d. n."
32.91,Proizvodnja metli i četaka
32.99,"Ostala prerađivačka industrija, d. n."
33,Popravak i instaliranje mašina i opreme
33.1,"Popravak proizvoda od metala, mašina i opreme"
33.11,Popravak proizvoda od metala
33.12,Popravak mašina
33.13,Popravak elektroničke i optičke opreme
33.14,Popravak električne opreme
33.15,Popravak i održavanje brodova i čamaca
33.16,Popravak i održavanje aviona i svemirskih letjelica
33.17,Popravak i održavanje ostalih prijevoznih sredstava
33.19,Popravak ostale opreme
33.2,Instaliranje industrijskih mašina i opreme
33.20,Instaliranje industrijskih mašina i opreme
D,"PROIZVODNJA I SNABDIJEVANJE ELEKTRIČNOM ENERGIJOM, PLINOM, PAROM I KLIMATIZACIJA"
35,"Proizvodnja i snabdijevanje električnom energijom, plinom, parom i klimatizacija"
35.1,"Proizvodnja, prijenos i distribucija električne energije"
35.11,Proizvodnja električne energije
35.12,Prijenos električne energije
35.13,Distribucija električne energije
35.14,Trgovina električnom energijom
35.2,Proizvodnja plina," distribucija plinovitih goriva distribucijskom mrežom"
35.21,Proizvodnja plina
35.22,Distribucija plinovitih goriva distribucijskom mrežom
35.23,Trgovina plinom distribucijskom mrežom
35.3,Proizvodnja i snabdijevanje parom i klimatizacija
35.30,Proizvodnja i snabdijevanje parom i klimatizacija
E,SNABDIJEVANJE  VODOM,"  UKLANJANJE  OTPADNIH  VODA, UPRAVLJANJE OTPADOM TE DJELATNOSTI SANACIJE OKOLIŠA"
36,"Sakupljanje, pročišćavanje i snabdijevanje vodom"
36.0,"Sakupljanje, pročišćavanje i snabdijevanje vodom"
36.00,"Sakupljanje, pročišćavanje i snabdijevanje vodom"
37,Uklanjanje otpadnih voda
37.0,Uklanjanje otpadnih voda
37.00,Uklanjanje otpadnih voda
38,"Sakupljanje otpada, djelatnosti obrade i zbrinjavanja otpada"," reciklaža materijala"
38.1,Sakupljanje otpada
38.11,Sakupljanje neopasnog otpada
38.12,Sakupljanje opasnog otpada
38.2,Obrada i zbrinjavanje otpada
38.21,Obrada i zbrinjavanje neopasnog otpada
38.22,Obrada i zbrinjavanje opasnog otpada
38.3,Reciklaža materijala
38.31,Rastavljanje olupina
38.32,Reciklaža posebno izdvojenih materijala
39,Djelatnosti sanacije okoliša te ostale djelatnosti upravljanja otpadom
39.0,Djelatnosti sanacije okoliša te ostale djelatnosti upravljanja otpadom
39.00,Djelatnosti  sanacije  okoliša  te  ostale  usluge  upravljanja otpadom
F,GRAĐEVINARSTVO
41,Gradnja građevina visokogradnje
41.1,Organizacija izvođenja građevinskih projekata
41.10,Organizacija izvođenja građevinskih projekata
41.2,Gradnja stambenih i nestambenih zgrada
41.20,Gradnja stambenih i nestambenih zgrada
42,Gradnja građevina niskogradnje
42.1,Gradnja cesta i željezničkih pruga
42.11,Gradnja cesta i autocesta
42.12,Gradnja željezničkih pruga i podzemnih željeznica
42.13,Gradnja mostova i tunela
42.2,"Gradnja  cjevovoda,  vodova  za  električnu  struju  i telekomunikacije"
42.21,Gradnja cjevovoda za tečnosti i plinove
42.22,Gradnja vodova za električnu struju i telekomunikacije
42.9,Gradnja ostalih građevina niskogradnje
42.91,Gradnja hidrograđevinskih objekata
42.99,"Gradnja ostalih građevina niskogradnje, d. n."
43,Specijalizirane građevinske djelatnosti
43.1,Uklanjanje građevina i pripremni radovi na gradilištu
43.11,Uklanjanje građevina
43.12,Pripremni radovi na gradilištu
43.13,Ispitivanje terena za gradnju bušenjem i sondiranjem
43.2,"Elektroinstalacijski  radovi,  uvođenje instalacija  vodovoda, kanalizacije i plina i ostali građevinski instalacijski radovi"
43.21,Elektroinstalacijski radovi
43.22,"Uvođenje instalacija vodovoda, kanalizacije i plina i instalacija za grijanje i klimatizaciju"
43.29,Ostali građevinski instalacijski radovi
43.3,Završni građevinski radovi
43.31,Fasadni i štukaturski radovi
43.32,Ugradnja stolarije
43.33,Postavljanje podnih i zidnih obloga
43.34,Bojenje i staklarski radovi
43.39,Ostali završni građevinski radovi
43.9,Ostale specijalizirane građevinske djelatnosti
43.91,Podizanje krovnih konstrukcija i pokrivanje krovova
43.99,"Ostale specijalizirane građevinske djelatnosti, d. n."
G,TRGOVINA NA VELIKO I NA MALO," POPRAVAK MOTORNIH VOZILA I MOTOCIKALA"
45,Trgovina na veliko i na malo motornim vozilima i motociklima," popravak motornih vozila i motocikala"
45.1,Trgovina motornim vozilima
45.11,Trgovina automobilima i motornim vozilima lake kategorije
45.19,Trgovina ostalim motornim vozilima
45.2,Održavanje i popravak motornih vozila
45.20,Održavanje i popravak motornih vozila
45.3,Trgovina dijelovima i priborom za motorna vozila
45.31,Trgovina na veliko dijelovima i priborom za motorna vozila
45.32,Trgovina na malo dijelovima i priborom za motorna vozila
45.4,"Trgovina motociklima, dijelovima i priborom za motocikle te održavanje i popravak motocikala"
45.40,"Trgovina motociklima, dijelovima i priborom za motocikle te održavanje i popravak motocikala"
46,"Trgovina na veliko, osim trgovine motornim  vozilima  i motociklima"
46.1,Trgovina na veliko uz naknadu ili na osnovu ugovora
46.11,"Posredovanje  u  trgovini  poljoprivrednim  sirovinama,  živim životinjama, tekstilnim sirovinama i poluproizvodima"
46.12,"Posredovanje u trgovini gorivima, rudama, metalima i industrijskim hemikalijama"
46.13,Posredovanje  u  trgovini  drvenom  građom  i  građevinskim materijalom
46.14,"Posredovanje u trgovini mašinima, industrijskom opremom, brodovima i avionima"
